"","x"
"17",1
"21",1
"24",1
"47",2
"55",1
"66",1
"108",1
"129",1
"130",3
"158",1
"177",2
"191",3
"216",3
"229",2
"233",1
"238",1
"259",3
"268",3
"348",2
"403",1
"404",3
"447",1
"455",1
"466",3
"468",1
"479",1
"480",2
"487",3
"526",2
"537",2
"559",2
"579",1
"589",1
"599",1
"604",3
"616",3
"617",3
"642",1
"663",3
"675",1
"694",1
"695",2
"699",1
"708",1
"721",1
"736",1
"750",3
"762",1
"786",1
